#{"t_start": 1781077617.2064164, "env_id": "None"}
r,l,t
-11.7,50,82.505701
-12.0,50,82.545017
-8.8,50,82.583159
7.0,50,82.896502
-8.5,50,82.921287
3.0,50,82.953658
-1.0,50,82.990545
3.9,50,83.027624
-12.3,50,83.051205
-14.7,50,83.082263
5.8,50,83.109802
-12.0,50,83.130886
12.9,50,83.160136
-12.7,50,83.489012
6.3,50,83.520598
5.9,50,83.548226
-8.7,50,83.579443
-12.0,50,83.610148
-2.2,50,83.6374
-1.8,50,83.669559
15.6,50,83.698172
-9.4,50,83.724238
-11.7,50,83.750081
0.2,50,84.157461
-12.3,50,84.187734
-8.1,50,84.213707
-14.1,50,84.254587
-11.7,50,84.288363
-15.5,50,84.320481
8.0,50,84.349077
-5.3,50,84.374802
-11.4,50,84.405325
11.6,50,84.427354
1.4,50,84.457181
-11.7,50,84.798701
6.9,50,84.837973
-12.0,50,84.867524
4.8,50,84.901598
-9.6,50,84.931825
-12.6,50,84.962537
-5.0,50,84.991909
-24.3,50,85.030772
1.1,50,85.068745
-4.1,50,85.093378
-12.3,50,85.581537
-12.6,50,85.614506
6.7,50,85.647567
1.3,50,85.674613
-21.3,50,85.705847
-3.8,50,85.737916
4.8,50,85.772574
-12.3,50,85.795231
-3.8,50,85.828584
-12.3,50,85.860194
-8.8,50,86.208667
-4.1,50,86.241746
-10.8,50,86.275394
-4.7,50,86.301679
0.9,50,86.335827
-12.0,50,86.369909
-3.0,50,86.402672
-12.0,50,86.425423
-2.1,50,86.455462
-12.3,50,86.485592
-22.5,50,86.839088
-12.0,50,86.877166
-11.7,50,86.920427
-11.4,50,86.997032
-12.0,50,87.037316
-4.9,50,87.075919
1.8,50,87.110366
-8.6,50,87.135391
-5.0,50,87.164058
-12.3,50,87.197161
5.5,50,87.219987
10.9,50,87.5747
-12.0,50,87.612524
-11.8,50,87.653813
-4.5,50,87.697193
-12.9,50,87.741213
5.7,50,87.776907
-2.7,50,87.814921
6.9,50,87.842491
-4.4,50,87.881299
-4.7,50,87.916214
-12.3,50,88.370268
2.7,50,88.412035
-24.6,50,88.445592
-8.5,50,88.480679
-7.7,50,88.517256
25.8,50,88.545383
2.3,50,88.577736
-11.7,50,88.612055
-3.8,50,88.63713
-12.0,50,88.667237
0.5,50,89.00246
2.1,50,89.035799
-4.1,50,89.075916
-10.3,50,89.115554
-24.0,50,89.158975
-0.3,50,89.202425
12.3,50,89.239148
8.7,50,89.286037
-12.0,50,89.323663
1.9,50,89.36115
7.7,50,89.73932
-12.3,50,89.775824
2.2,50,89.819563
2.9,50,89.854124
-11.7,50,89.878731
2.4,50,89.915326
-12.1,50,89.957475
-7.9,50,89.990207
6.2,50,90.015355
-2.3,50,90.041099
-4.2,50,90.448347
-8.6,50,90.486017
-12.9,50,90.523939
-1.4,50,90.551198
-12.6,50,90.583981
-25.8,50,90.621348
-12.6,50,90.653942
6.4,50,90.679079
-12.3,50,90.71086
0.6,50,90.748818
-8.8,50,90.792673
-0.9,50,91.372247
-11.7,50,91.413291
-26.4,50,91.459477
10.3,50,91.51192
-4.7,50,91.549442
-12.0,50,91.584123
-3.4,50,91.613937
-8.5,50,91.646086
-12.3,50,91.670646
-2.3,50,91.701984
6.0,50,92.030812
1.6,50,92.068285
4.7,50,92.113376
-5.8,50,92.151713
-12.3,50,92.190698
-22.2,50,92.219293
-12.3,50,92.248842
19.8,50,92.330977
1.8,50,92.369335
-11.4,50,92.411989
-12.3,50,92.8295
9.5,50,92.861082
3.7,50,92.891607
-9.6,50,92.920283
1.0,50,93.039962
-4.1,50,93.094098
6.7,50,93.167683
8.1,50,93.331346
-5.0,50,93.360684
-12.3,50,93.384721
1.4,50,93.741923
8.3,50,93.774498
-8.5,50,93.803069
-12.3,50,93.83502
-4.7,50,93.865826
0.8,50,93.901431
-3.1,50,93.928973
6.9,50,93.958601
1.0,50,93.987132
-22.5,50,94.008682
-12.3,50,94.037347
15.7,50,94.351062
1.5,50,94.377679
9.7,50,94.410318
-3.3,50,94.444311
-12.3,50,94.474627
-4.0,50,94.508252
1.9,50,94.542389
-1.9,50,94.57148
-2.4,50,94.604614
4.2,50,94.628475
2.5,50,94.964335
18.6,50,95.005411
-5.2,50,95.042199
-0.0,50,95.085306
-11.4,50,95.14458
1.8,50,95.194083
-11.4,50,95.234211
-2.4,50,95.27383
-11.1,50,95.315063
-4.4,50,95.344063
-6.5,50,95.71605
-12.3,50,95.746754
-3.0,50,95.778927
9.2,50,95.815013
-8.5,50,95.841372
-12.3,50,95.874933
-12.0,50,95.907012
-11.9,50,95.938869
-21.9,50,95.963959
6.7,50,95.994393
-2.9,50,96.321176
7.9,50,96.355781
-1.6,50,96.380393
-8.0,50,96.412505
-2.7,50,96.445347
-11.4,50,96.474513
2.7,50,96.504935
-8.6,50,96.534103
6.2,50,96.573469
31.7,16,96.581991
-12.3,50,96.610682
6.7,50,96.927242
-2.0,50,96.965117
5.8,50,97.004425
-0.1,50,97.038768
0.4,50,97.071274
-11.4,50,97.104429
-8.3,50,97.129042
-4.9,50,97.168712
-12.6,50,97.199359
-7.7,50,97.228069
-12.3,50,97.255217
12.7,50,97.733596
